Column1,Column2,Column3,Column4,Column5,ids_row
"создание системы приточно-вытяжной вентиляции административного здания по адресу: амурская область, г.благовещенск, ул. б. хмельницкого, 52/2",7687106.0,2022.0,Капитальное строительство,26.0,
"создание системы приточно-вытяжной вентиляции административного здания по адресу: амурская область, г.благовещенск, ул. б. хмельницкого, 52/2",7687106.0,2023.0,Капитальное строительство,26.0,
"4.административное здание, г. благовещенск, ул. б.хмельницкого, 52/2 (04-01-01-00-06-006(комп))",1682.0,2022.0,"Текущий ремонт зданий, сооружений",26.0,04-01-01-00-06-006
"административное здание по адресу: г. благовещенск, ул. б. хмельницкого, 52/2 (04-01-01-00-06-006(комп.)) (ремонт ограждения, инв. № 300875) ",89.5,2023.0,"Текущий ремонт зданий, сооружений",26.0,04-01-01-00-06-006
"15.административное здание, по адресу: амурская область, г. тында, ул. профсоюзная, 12 (04-01-01-00-13-013 (комп.))",1057.0,2020.0,"Текущий ремонт зданий, сооружений",30.0,04-01-01-00-13-013
"административное здание, по адресу: амурская область, г. тында, ул. профсоюзная, 12 (04-01-01-00-13-013 (комп.)) (ремонт кровли)",1271.0,2021.0,"Текущий ремонт зданий, сооружений",30.0,04-01-01-00-13-013
"выборочный капитальный ремонт административного здания (ворот, ограждения с калиткой, ограждения) по адресу: амурская область, г. благовещенск, пер. св. иннокентия, 17",448.72,2017.0,Капитальный ремонт,30.0,
"выборочный капитальный ремонт административного здания, расположенного по адресу: амурская область, г. тында, ул. профсоюзная, 12 ",18034.120000000003,2017.0,Капитальный ремонт,30.0,
"14. пристройка к зданию главного управления центрального банка российской федерации по амурской области  г. благовещенск, пер. св. иннокентия, 17",499.0,2019.0,"Текущий ремонт зданий, сооружений",33.0,
"капитальный ремонт с перепланировкой помещений пристройки к зданию главного управления центрального банка рф по амурской области, административного (пристройка), гаража по адресам: российская федерация, амурская область, городской округ город благовещенск, город благовещенск, переулок св. иннокентия, дом 17 корпус 2, корпус 1, строение 1",43837947.0,2022.0,Капитальный ремонт,33.0,
"капитальный ремонт с перепланировкой помещений пристройки к зданию главного управления центрального банка рф по амурской области, административного (пристройка), гаража по адресам: российская федерация, амурская область, городской округ город благовещенск, город благовещенск, переулок св. иннокентия, дом 17 корпус 2, корпус 1, строение 1",43837947.0,2023.0,Капитальный ремонт,33.0,
"создание автоматической системы газового пожаротушения в помещениях №101 и №102 пристройки к зданию по адресу: амурская область, г. благовещенск, пер. св.иннокентия, 17",3024.36,2018.0,Капитальное строительство,33.0,
"текущий ремонт пристройки к зданию главного управления центрального банка российской федерации по амурской области по адресу: город благовещенск, переулок св.иннокентия, дом 17 корпус 2   по адресу: г.благовещенск, пер.св.иннокентия, 17",483.0,2023.0,"Текущий ремонт зданий, сооружений",33.0,
"текущий ремонт пристройки к зданию главного управления центрального банка российской федерации по амурской области по адресу: город благовещенск, переулок св.иннокентия, дом 17 корпус 2   по адресу: г.благовещенск, пер.св.иннокентия, 17  (итсо)",62.99,2023.0,"Текущий ремонт зданий, сооружений",33.0,
".пристройка к зданию главного управления центрального банка рф по амурской области, город благовещенск, переулок св. иннокентия, дом 17 корпус 2 (04-01-01-00-54-054(комп)) (ремонт лестничной клетки 1-3 этажей и помещения № 11) ",374.95,2023.0,"Текущий ремонт зданий, сооружений",33.0,04-01-01-00-54-054
"13.пристройка к зданию главного управления центрального банка российской федерации по амурской области  г. благовещенск, пер. св. иннокентия, 17 (04-01-01-00-54-054 (комп.))",499.0,2020.0,"Текущий ремонт зданий, сооружений",33.0,04-01-01-00-54-054
"2. пристройка к зданию главного управления центрального банка российской федерации по амурской области г. благовещенск, пер. св. иннокентия, 17 (04-01-01-00-54-054 (комп.))",499.0,2022.0,"Текущий ремонт зданий, сооружений",33.0,04-01-01-00-54-054
"пристройки к зданию отделения благовещенск по адресу: г.благовещенск, пер.св.иннокентия,17 (04-01-01-00-54-054 (комп.))",27.4,2021.0,"Текущий ремонт зданий, сооружений",33.0,04-01-01-00-54-054
"пристройки к зданию отделения благовещенск по адресу: г.благовещенск, пер.св.иннокентия,17 (04-01-01-00-54-054 (комп.)) (ремонт подпорной стенки) ",346.62,2021.0,"Текущий ремонт зданий, сооружений",33.0,04-01-01-00-54-054
"пристройки к зданию отделения благовещенск по адресу: г.благовещенск, пер.св.иннокентия,17 (04-01-01-00-54-054 (комп.))(итсо) ",34.86,2021.0,"Текущий ремонт зданий, сооружений",33.0,04-01-01-00-54-054
"пристройки к зданию отделения благовещенск по адресу: г.благовещенск, пер.св.иннокентия,17 (04-01-01-00-54-054 (комп.))(ремонт помещений) ",168.12,2021.0,"Текущий ремонт зданий, сооружений",33.0,04-01-01-00-54-054
"ограждения отделения биробиджан, г. биробиджан, пр-т 60-летия образования ссср, 5 (16-07-07-00-00-024)",168.0,2023.0,"Текущий ремонт зданий, сооружений",60.0,16-07-07-00-00-024
"19. административное здание г. биробиджан, пр-т 60-летия образования ссср,5",491.0,2019.0,"Текущий ремонт зданий, сооружений",62.0,
